,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025, ,1981-2010 mean,1981-2010 median
,9,,3.301,2.936,2.808,3.334,3.427,3.077,3.283,2.998,3.508,3.208,3.391,3.18,2.782,2.867,2.539,3.689,3.939,3.337,2.758,3.219,2.97,3.46,4.118,3.267,3.789,3.896,3.424,2.683,3.323,4.502,3.612,3.451,2.799,3.705,4.363,4.137,4.078,3.11,2.216,2.673,2.647,3.194,3.87,2.289,2.127,2.808,2.201,,3.328,3.329
,10,,3.337,2.985,2.876,3.366,3.455,3.122,3.302,3.045,3.57,3.278,3.419,3.223,2.839,2.899,2.648,3.738,4,3.452,2.816,3.343,3.042,3.534,4.213,3.327,3.841,3.944,3.477,2.731,3.388,4.575,3.669,3.515,2.887,3.797,4.464,4.203,4.146,3.168,2.252,2.75,2.684,3.299,3.937,2.336,2.209,2.869,2.266,,3.388,3.377
,11,,3.372,3.007,2.937,3.463,3.491,3.162,3.337,3.091,3.632,3.361,3.449,3.294,2.905,2.949,2.777,3.806,4.056,3.555,2.9,3.487,3.134,3.615,4.306,3.385,3.897,4.003,3.535,2.783,3.461,4.641,3.744,3.577,2.967,3.893,4.557,4.258,4.243,3.23,2.295,2.839,2.721,3.402,3.998,2.385,2.274,2.918,2.33,,3.458,3.462
,12,,3.405,3.039,2.983,3.546,3.539,3.213,3.396,3.124,3.677,3.469,3.479,3.371,2.997,3.002,2.903,3.886,4.134,3.655,2.976,3.639,3.248,3.683,4.385,3.458,3.955,4.062,3.576,2.829,3.528,4.713,3.795,3.631,3.039,3.992,4.645,4.337,4.339,3.313,2.353,2.931,2.764,3.509,4.059,2.433,2.337,2.956,2.411,,3.528,3.534
,13,,3.468,3.08,3.044,3.683,3.573,3.265,3.408,3.164,3.744,3.605,3.516,3.45,3.083,3.066,3.038,3.983,4.209,3.744,3.05,3.776,3.398,3.729,4.461,3.532,4.024,4.124,3.629,2.862,3.577,4.793,3.848,3.667,3.098,4.108,4.73,4.412,4.437,3.401,2.4,3.035,2.815,3.611,4.115,2.476,2.397,2.983,2.515,,3.602,3.591
,14,,3.518,3.107,3.105,3.808,3.655,3.321,3.418,3.244,3.818,3.725,3.574,3.542,3.183,3.139,3.176,4.087,4.284,3.828,3.115,3.88,3.55,3.773,4.545,3.595,4.09,4.218,3.695,2.882,3.631,4.876,3.943,3.7,3.152,4.209,4.813,4.473,4.528,3.484,2.441,3.139,2.866,3.72,4.18,2.522,2.435,3.013,2.627,,3.68,3.675
,15,,3.586,3.156,3.151,3.928,3.726,3.374,3.466,3.297,3.864,3.849,3.667,3.634,3.304,3.222,3.306,4.188,4.361,3.927,3.185,3.962,3.707,3.825,4.599,3.634,4.149,4.289,3.764,2.912,3.686,4.953,4.033,3.723,3.205,4.305,4.868,4.544,4.623,3.587,2.491,3.225,2.904,3.826,4.244,2.568,2.492,3.029,2.737,,3.756,3.724
,16,,3.657,3.209,3.213,4.063,3.801,3.433,3.496,3.406,3.916,3.963,3.759,3.716,3.424,3.291,3.438,4.289,4.444,4.03,3.235,4.019,3.852,3.883,4.651,3.664,4.213,4.368,3.84,2.937,3.726,5.035,4.118,3.743,3.26,4.413,4.927,4.608,4.702,3.706,2.539,3.304,2.951,3.914,4.315,2.623,2.553,3.049,2.851,,3.832,3.821
,17,,3.716,3.243,3.282,4.139,3.885,3.491,3.553,3.514,3.952,4.043,3.83,3.8,3.529,3.352,3.58,4.403,4.528,4.109,3.291,4.067,3.974,3.946,4.714,3.69,4.272,4.454,3.919,2.973,3.772,5.124,4.222,3.772,3.331,4.521,4.984,4.672,4.794,3.816,2.583,3.377,3.003,3.988,4.381,2.676,2.605,3.086,2.954,,3.906,3.902
,18,,3.777,3.284,3.335,4.229,3.956,3.553,3.614,3.613,3.989,4.105,3.908,3.886,3.654,3.432,3.723,4.5,4.617,4.189,3.346,4.123,4.091,4.034,4.765,3.716,4.337,4.543,3.995,3.026,3.821,5.216,4.338,3.794,3.405,4.605,5.044,4.729,4.9,3.94,2.64,3.433,3.054,4.065,4.441,2.738,2.66,3.113,3.04,,3.982,3.973
,19,,3.881,3.321,3.39,4.297,4.025,3.614,3.68,3.718,4.081,4.173,3.97,3.966,3.782,3.516,3.872,4.602,4.695,4.27,3.409,4.188,4.179,4.128,4.811,3.753,4.401,4.603,4.088,3.088,3.856,5.301,4.483,3.825,3.465,4.698,5.099,4.809,5.01,4.066,2.716,3.514,3.113,4.134,4.496,2.806,2.722,3.13,3.113,,4.059,4.053
,20,,3.961,3.354,3.431,4.361,4.108,3.677,3.739,3.786,4.144,4.233,4.01,4.047,3.898,3.595,4.011,4.701,4.751,4.347,3.486,4.271,4.253,4.211,4.875,3.803,4.475,4.68,4.174,3.162,3.877,5.41,4.641,3.848,3.525,4.785,5.157,4.888,5.138,4.184,2.786,3.609,3.185,4.21,4.558,2.876,2.779,3.154,3.168,,4.133,4.126
,21,,4.057,3.375,3.478,4.486,4.186,3.741,3.797,3.868,4.235,4.289,4.061,4.128,4.028,3.693,4.115,4.794,4.828,4.42,3.588,4.37,4.329,4.295,4.936,3.86,4.554,4.738,4.265,3.239,3.917,5.541,4.771,3.867,3.583,4.864,5.218,4.987,5.245,4.293,2.855,3.72,3.264,4.295,4.63,2.948,2.836,3.183,3.228,,4.214,4.21
,22,,4.169,3.406,3.543,4.585,4.277,3.801,3.863,3.949,4.341,4.35,4.138,4.223,4.16,3.793,4.211,4.887,4.903,4.508,3.704,4.472,4.405,4.374,4.989,3.908,4.666,4.796,4.351,3.314,3.95,5.678,4.884,3.878,3.62,4.945,5.282,5.109,5.348,4.416,2.906,3.833,3.345,4.376,4.72,3.008,2.92,3.213,3.276,,4.297,4.309
,23,,4.28,3.442,3.593,4.703,4.367,3.863,3.913,4.017,4.415,4.407,4.206,4.325,4.292,3.879,4.295,4.979,4.98,4.604,3.829,4.562,4.48,4.44,5.058,3.951,4.77,4.859,4.423,3.396,3.987,5.809,4.989,3.903,3.672,5.021,5.342,5.232,5.451,4.538,2.946,3.979,3.444,4.448,4.822,3.064,3.019,3.254,3.324,,4.376,4.387
,24,,4.374,3.465,3.693,4.839,4.453,3.938,3.964,4.129,4.489,4.456,4.275,4.439,4.426,3.979,4.37,5.071,5.071,4.688,3.952,4.646,4.571,4.499,5.125,4.003,4.877,4.929,4.488,3.488,4.04,5.933,5.037,3.94,3.729,5.083,5.409,5.355,5.554,4.67,2.975,4.114,3.511,4.529,4.926,3.124,3.142,3.322,3.366,,4.46,4.455
,25,,4.522,3.52,3.783,4.927,4.542,4.006,4.036,4.232,4.57,4.511,4.366,4.539,4.578,4.088,4.46,5.167,5.189,4.762,4.059,4.721,4.66,4.561,5.183,4.075,4.981,5.008,4.57,3.583,4.106,6.029,5.079,4.008,3.79,5.157,5.488,5.478,5.636,4.81,3.012,4.246,3.582,4.593,5.039,3.198,3.279,3.404,3.427,,4.546,4.551
,26,,4.659,3.572,3.893,5.023,4.618,4.102,4.098,4.304,4.646,4.574,4.456,4.642,4.736,4.197,4.573,5.269,5.289,4.855,4.141,4.798,4.748,4.621,5.243,4.141,5.065,5.074,4.647,3.675,4.177,6.085,5.156,4.1,3.844,5.236,5.563,5.608,5.734,4.945,3.055,4.369,3.654,4.667,5.128,3.284,3.435,3.507,3.496,,4.632,4.632
,27,,4.737,3.644,4.004,5.161,4.698,4.193,4.167,4.401,4.761,4.653,4.546,4.743,4.885,4.306,4.674,5.377,5.361,4.962,4.222,4.884,4.847,4.706,5.306,4.207,5.129,5.136,4.739,3.782,4.266,6.12,5.262,4.215,3.906,5.315,5.631,5.728,5.833,5.078,3.128,4.478,3.726,4.75,5.203,3.4,3.569,3.599,3.578,,4.724,4.723
,28,,4.856,3.709,4.068,5.271,4.744,4.283,4.243,4.456,4.86,4.718,4.621,4.846,5.019,4.411,4.76,5.491,5.422,5.072,4.295,4.978,4.939,4.798,5.36,4.271,5.194,5.186,4.836,3.886,4.361,6.156,5.357,4.341,3.955,5.413,5.704,5.872,5.926,5.196,3.208,4.555,3.776,4.832,5.278,3.536,3.679,3.7,3.659,,4.808,4.817
,29,,4.973,3.795,4.155,5.416,4.802,4.38,4.354,4.507,4.923,4.775,4.697,4.958,5.139,4.499,4.84,5.609,5.49,5.196,4.373,5.081,5.03,4.894,5.415,4.314,5.256,5.241,4.939,3.985,4.46,6.203,5.48,4.452,4.002,5.507,5.775,6.003,6.023,5.311,3.284,4.629,3.841,4.919,5.345,3.68,3.77,3.799,3.771,,4.895,4.909
,30,,5.051,3.878,4.2,5.573,4.857,4.479,4.44,4.642,5.02,4.817,4.753,5.073,5.249,4.588,4.913,5.71,5.533,5.322,4.439,5.191,5.12,4.992,5.477,4.379,5.322,5.299,5.053,4.083,4.571,6.261,5.616,4.57,4.053,5.593,5.842,6.13,6.117,5.424,3.358,4.702,3.912,5.009,5.405,3.805,3.856,3.9,3.887,,4.985,5.006
,31,,5.171,3.975,4.243,5.706,4.901,4.57,4.515,4.739,5.076,4.853,4.791,5.189,5.332,4.686,4.976,5.797,5.583,5.435,4.518,5.267,5.201,5.092,5.535,4.439,5.398,5.385,5.16,4.195,4.681,6.323,5.739,4.686,4.121,5.671,5.915,6.255,6.213,5.532,3.434,4.763,3.988,5.098,5.485,3.931,3.933,3.999,3.989,,5.067,5.084
April,1,,5.309,4.068,4.33,5.84,4.981,4.689,4.62,4.885,5.119,4.874,4.841,5.312,5.416,4.799,5.033,5.874,5.652,5.535,4.602,5.345,5.279,5.178,5.597,4.493,5.474,5.492,5.266,4.296,4.769,6.424,5.85,4.803,4.196,5.749,6.005,6.368,6.328,5.619,3.505,4.823,4.062,5.192,5.578,4.062,4.04,4.123,4.104,,5.156,5.149
,2,,5.423,4.133,4.398,5.981,5.053,4.802,4.713,5.045,5.185,4.916,4.897,5.435,5.504,4.92,5.112,5.942,5.748,5.628,4.703,5.406,5.364,5.269,5.649,4.564,5.541,5.619,5.378,4.405,4.843,6.538,5.966,4.922,4.271,5.826,6.098,6.473,6.445,5.713,3.579,4.885,4.156,5.289,5.67,4.199,4.155,4.275,4.237,,5.248,5.227
,3,,5.53,4.216,4.462,6.117,5.158,4.913,4.782,5.134,5.253,4.964,4.954,5.554,5.602,5.049,5.201,6,5.848,5.714,4.822,5.447,5.442,5.356,5.697,4.636,5.625,5.744,5.482,4.524,4.915,6.661,6.071,5.057,4.355,5.913,6.191,6.594,6.547,5.803,3.681,4.945,4.258,5.376,5.766,4.307,4.264,4.432,4.373,,5.339,5.304
,4,,5.629,4.26,4.547,6.239,5.254,5.031,4.882,5.245,5.352,5.02,5.022,5.684,5.701,5.189,5.287,6.063,5.959,5.805,4.948,5.478,5.537,5.445,5.75,4.686,5.719,5.868,5.591,4.642,4.971,6.785,6.172,5.182,4.43,5.998,6.292,6.724,6.653,5.882,3.814,4.99,4.359,5.456,5.864,4.419,4.365,4.588,4.502,,5.435,5.399
,5,,5.738,4.306,4.627,6.373,5.355,5.13,4.991,5.329,5.433,5.083,5.108,5.811,5.808,5.328,5.374,6.125,6.058,5.888,5.085,5.532,5.642,5.548,5.805,4.764,5.827,5.995,5.708,4.746,5.028,6.929,6.274,5.311,4.511,6.083,6.397,6.847,6.755,5.969,3.946,5.039,4.467,5.531,5.946,4.518,4.461,4.735,4.651,,5.534,5.482
,6,,5.876,4.392,4.688,6.453,5.464,5.231,5.133,5.405,5.518,5.15,5.18,5.923,5.925,5.471,5.47,6.187,6.163,5.98,5.211,5.566,5.743,5.641,5.864,4.878,5.937,6.109,5.813,4.851,5.114,7.057,6.376,5.429,4.61,6.146,6.498,6.976,6.845,6.075,4.081,5.095,4.599,5.601,6.021,4.608,4.542,4.872,4.81,,5.631,5.542
,7,,5.989,4.455,4.798,6.548,5.55,5.351,5.251,5.493,5.619,5.226,5.26,6.028,6.036,5.623,5.567,6.255,6.261,6.072,5.328,5.617,5.852,5.724,5.949,4.992,6.063,6.222,5.919,4.946,5.214,7.182,6.485,5.537,4.731,6.197,6.601,7.101,6.95,6.17,4.222,5.16,4.706,5.679,6.09,4.684,4.625,4.99,4.958,,5.732,5.621
,8,,6.129,4.539,4.902,6.619,5.641,5.46,5.417,5.583,5.737,5.312,5.346,6.115,6.139,5.771,5.664,6.327,6.362,6.179,5.425,5.686,5.967,5.832,6.041,5.132,6.181,6.332,6.037,5.024,5.316,7.291,6.587,5.634,4.855,6.257,6.715,7.228,7.081,6.255,4.347,5.229,4.809,5.755,6.161,4.768,4.712,5.109,5.072,,5.835,5.754
,9,,6.28,4.635,4.98,6.687,5.762,5.546,5.585,5.686,5.832,5.392,5.426,6.191,6.259,5.904,5.76,6.402,6.467,6.278,5.538,5.767,6.073,5.962,6.138,5.266,6.293,6.431,6.152,5.098,5.444,7.394,6.696,5.728,5.007,6.311,6.827,7.357,7.231,6.34,4.453,5.326,4.92,5.85,6.234,4.864,4.785,5.229,5.192,,5.938,5.868
,10,,6.456,4.677,5.077,6.791,5.864,5.655,5.639,5.781,5.97,5.475,5.493,6.26,6.368,6.04,5.853,6.486,6.574,6.391,5.634,5.859,6.171,6.094,6.242,5.397,6.4,6.524,6.264,5.198,5.573,7.494,6.816,5.821,5.185,6.368,6.935,7.488,7.396,6.419,4.568,5.433,5.019,5.937,6.316,4.972,4.859,5.346,5.292,,6.04,6.005
,11,,6.608,4.734,5.19,6.88,5.951,5.744,5.749,5.855,6.11,5.559,5.574,6.34,6.475,6.156,5.963,6.587,6.67,6.507,5.721,5.961,6.269,6.25,6.349,5.508,6.52,6.628,6.367,5.307,5.69,7.587,6.962,5.916,5.356,6.47,7.042,7.631,7.541,6.482,4.695,5.534,5.102,6.034,6.402,5.085,4.938,5.465,5.372,,6.145,6.133
,12,,6.788,4.801,5.277,6.996,6.064,5.82,5.86,5.947,6.234,5.641,5.657,6.438,6.579,6.262,6.076,6.68,6.756,6.635,5.826,6.061,6.366,6.422,6.44,5.623,6.63,6.737,6.47,5.412,5.814,7.681,7.117,6.014,5.508,6.582,7.143,7.771,7.671,6.569,4.805,5.619,5.199,6.129,6.496,5.202,5.017,5.584,5.454,,6.251,6.248
,13,,6.977,4.848,5.373,7.114,6.144,5.916,5.915,6.014,6.364,5.737,5.74,6.536,6.685,6.376,6.195,6.775,6.824,6.753,5.94,6.163,6.457,6.582,6.539,5.734,6.746,6.842,6.581,5.52,5.941,7.78,7.292,6.112,5.663,6.695,7.23,7.9,7.79,6.675,4.91,5.701,5.306,6.232,6.605,5.329,5.099,5.689,5.554,,6.356,6.37
,14,,7.088,4.908,5.491,7.241,6.214,6.015,6.015,6.075,6.496,5.855,5.821,6.646,6.772,6.484,6.316,6.877,6.905,6.864,6.052,6.271,6.553,6.728,6.637,5.849,6.839,6.948,6.698,5.634,6.036,7.879,7.462,6.218,5.793,6.83,7.32,8.016,7.898,6.798,5.018,5.778,5.407,6.307,6.719,5.46,5.193,5.799,,,6.463,6.49
,15,,7.229,4.982,5.592,7.362,6.28,6.123,6.149,6.161,6.622,5.986,5.919,6.756,6.868,6.583,6.434,6.972,6.986,6.974,6.179,6.382,6.661,6.867,6.744,5.963,6.927,7.055,6.817,5.742,6.125,7.981,7.622,6.322,5.879,6.972,7.406,8.139,8.003,6.928,5.124,5.852,5.517,6.387,6.835,5.591,5.297,5.924,,,6.572,6.603
,16,,7.348,5.054,5.679,7.504,6.357,6.223,6.243,6.24,6.723,6.128,6.015,6.851,6.95,6.69,6.536,7.047,7.077,7.084,6.326,6.516,6.765,6.998,6.854,6.072,7.013,7.159,6.936,5.837,6.223,8.083,7.76,6.432,5.955,7.107,7.485,8.265,8.14,7.071,5.217,5.939,5.644,6.458,6.942,5.725,5.377,6.042,,,6.677,6.707
,17,,7.448,5.112,5.782,7.642,6.462,6.367,6.323,6.329,6.843,6.27,6.116,6.935,7.032,6.787,6.641,7.137,7.176,7.182,6.46,6.668,6.884,7.111,6.971,6.191,7.091,7.26,7.034,5.948,6.326,8.192,7.883,6.555,6.051,7.23,7.567,8.395,8.287,7.209,5.333,6.035,5.763,6.537,7.061,5.863,5.447,6.151,,,6.787,6.815
,18,,7.546,5.229,5.89,7.777,6.542,6.497,6.443,6.42,6.917,6.396,6.224,7.02,7.113,6.888,6.72,7.232,7.287,7.29,6.591,6.823,7.001,7.233,7.087,6.322,7.168,7.357,7.11,6.075,6.435,8.309,7.988,6.689,6.157,7.358,7.662,8.523,8.437,7.329,5.453,6.117,5.872,6.597,7.171,6.001,5.516,6.262,,,6.895,6.902
,19,,7.664,5.331,5.998,7.919,6.637,6.61,6.557,6.495,6.995,6.506,6.344,7.112,7.187,6.991,6.789,7.33,7.389,7.41,6.719,6.965,7.103,7.359,7.203,6.459,7.263,7.452,7.185,6.191,6.564,8.441,8.08,6.815,6.275,7.473,7.75,8.663,8.587,7.424,5.576,6.187,5.973,6.676,7.286,6.146,5.586,6.376,,,7.002,6.993
,20,,7.78,5.463,6.101,8.007,6.75,6.746,6.715,6.576,7.081,6.605,6.475,7.205,7.258,7.079,6.858,7.446,7.493,7.553,6.839,7.1,7.184,7.494,7.305,6.603,7.377,7.535,7.278,6.299,6.695,8.579,8.179,6.945,6.409,7.584,7.832,8.784,8.735,7.516,5.7,6.258,6.064,6.776,7.387,6.271,5.638,6.485,,,7.112,7.091
,21,,7.876,5.596,6.198,8.116,6.832,6.837,6.856,6.713,7.16,6.69,6.611,7.295,7.353,7.166,6.932,7.56,7.598,7.691,6.931,7.223,7.262,7.628,7.407,6.758,7.499,7.614,7.38,6.414,6.828,8.714,8.28,7.083,6.539,7.694,7.916,8.883,8.883,7.604,5.842,6.319,6.132,6.877,7.502,6.386,5.708,6.6,,,7.221,7.194
,22,,8.008,5.737,6.303,8.225,6.913,6.927,6.978,6.816,7.258,6.774,6.75,7.373,7.449,7.265,7.002,7.66,7.703,7.808,7.032,7.361,7.321,7.772,7.507,6.9,7.64,7.697,7.494,6.511,6.958,8.836,8.381,7.207,6.661,7.799,8.005,8.958,9.009,7.682,5.971,6.37,6.183,6.967,7.597,6.504,5.796,6.708,,,7.327,7.293
,23,,8.142,5.873,6.441,8.312,6.999,7.068,7.126,6.913,7.355,6.851,6.881,7.476,7.534,7.356,7.096,7.748,7.804,7.917,7.123,7.513,7.386,7.901,7.596,7.033,7.789,7.795,7.621,6.601,7.064,8.949,8.485,7.331,6.774,7.911,8.095,9.029,9.129,7.767,6.103,6.437,6.248,7.079,7.69,6.622,5.886,6.824,,,7.435,7.371
,24,,8.285,5.987,6.555,8.387,7.085,7.184,7.214,7.047,7.454,6.949,6.996,7.581,7.628,7.452,7.216,7.834,7.906,8.033,7.201,7.678,7.47,8.018,7.695,7.165,7.926,7.89,7.728,6.707,7.166,9.052,8.598,7.468,6.881,8.032,8.192,9.101,9.252,7.879,6.231,6.513,6.326,7.211,7.773,6.739,5.98,6.935,,,7.543,7.469
,25,,8.422,6.117,6.671,8.49,7.172,7.315,7.306,7.159,7.554,7.039,7.106,7.707,7.729,7.571,7.347,7.913,8.008,8.132,7.29,7.83,7.562,8.127,7.806,7.277,8.057,7.991,7.816,6.808,7.278,9.122,8.705,7.617,6.991,8.151,8.311,9.172,9.374,8.002,6.347,6.586,6.4,7.336,7.868,6.862,6.093,7.032,,,7.65,7.594
,26,,8.545,6.192,6.81,8.588,7.259,7.463,7.369,7.244,7.615,7.138,7.216,7.841,7.818,7.69,7.481,7.994,8.109,8.223,7.403,7.968,7.667,8.227,7.929,7.399,8.177,8.097,7.908,6.905,7.379,9.174,8.817,7.767,7.12,8.257,8.425,9.251,9.493,8.122,6.465,6.656,6.477,7.478,7.959,6.996,6.193,7.134,,,7.756,7.729
,27,,8.681,6.278,6.929,8.661,7.363,7.573,7.442,7.332,7.694,7.23,7.32,7.99,7.922,7.812,7.621,8.088,8.205,8.35,7.517,8.093,7.779,8.334,8.04,7.534,8.299,8.201,8.007,7.003,7.473,9.219,8.927,7.9,7.234,8.379,8.535,9.349,9.617,8.232,6.593,6.745,6.578,7.632,8.07,7.123,6.278,7.255,,,7.862,7.856
,28,,8.777,6.394,7.035,8.787,7.459,7.685,7.57,7.445,7.748,7.333,7.444,8.103,8.044,7.937,7.77,8.185,8.307,8.485,7.642,8.208,7.892,8.449,8.153,7.662,8.411,8.311,8.101,7.099,7.588,9.271,9.028,8.025,7.353,8.491,8.642,9.445,9.743,8.337,6.707,6.837,6.668,7.78,8.19,7.242,6.376,7.381,,,7.973,7.981
,29,,8.88,6.483,7.151,8.911,7.584,7.801,7.66,7.502,7.797,7.431,7.589,8.196,8.156,8.055,7.906,8.285,8.4,8.615,7.785,8.312,8.002,8.564,8.257,7.808,8.536,8.445,8.203,7.182,7.71,9.299,9.122,8.152,7.48,8.598,8.742,9.532,9.867,8.423,6.818,6.929,6.752,7.897,8.314,7.351,6.475,7.497,,,8.081,8.104
,30,,8.933,6.616,7.276,9.001,7.703,7.913,7.815,7.562,7.861,7.538,7.737,8.261,8.29,8.163,8.045,8.387,8.487,8.742,7.927,8.419,8.131,8.665,8.363,7.963,8.662,8.579,8.309,7.268,7.81,9.348,9.193,8.277,7.604,8.697,8.854,9.628,9.976,8.495,6.93,7.03,6.842,8.006,8.443,7.475,6.564,7.616,,,8.19,8.212
May,1,,9.004,6.753,7.367,9.109,7.841,7.994,7.976,7.665,7.923,7.632,7.912,8.306,8.427,8.281,8.195,8.501,8.555,8.882,8.063,8.532,8.278,8.773,8.47,8.097,8.784,8.701,8.423,7.368,7.9,9.428,9.249,8.39,7.726,8.789,8.966,9.726,10.074,8.569,7.022,7.147,6.939,8.115,8.578,7.592,6.66,7.711,,,8.301,8.293
,2,,9.057,6.894,7.467,9.253,7.975,8.095,8.089,7.745,8.009,7.737,8.099,8.33,8.565,8.386,8.346,8.611,8.611,9.016,8.205,8.626,8.415,8.878,8.598,8.217,8.908,8.824,8.533,7.481,7.98,9.515,9.31,8.525,7.872,8.888,9.083,9.824,10.177,8.663,7.117,7.259,7.029,8.212,8.69,7.693,6.767,7.789,,,8.412,8.4
,3,,9.1,7.028,7.561,9.361,8.097,8.178,8.221,7.871,8.085,7.854,8.257,8.358,8.688,8.473,8.475,8.731,8.667,9.154,8.362,8.723,8.544,8.992,8.729,8.33,9.033,8.932,8.632,7.596,8.042,9.613,9.374,8.662,8.02,8.993,9.205,9.949,10.277,8.765,7.232,7.376,7.135,8.299,8.799,7.803,6.86,7.861,,,8.52,8.509
,4,,9.233,7.143,7.649,9.438,8.228,8.252,8.364,7.998,8.229,7.968,8.418,8.397,8.816,8.568,8.615,8.839,8.745,9.303,8.513,8.828,8.677,9.108,8.864,8.414,9.154,9.035,8.731,7.714,8.088,9.729,9.446,8.791,8.154,9.086,9.331,10.1,10.373,8.872,7.349,7.495,7.265,8.396,8.91,7.912,6.957,7.931,,,8.631,8.646
,5,,9.33,7.274,7.776,9.567,8.302,8.37,8.484,8.083,8.349,8.088,8.576,8.446,8.926,8.669,8.755,8.949,8.841,9.453,8.649,8.948,8.795,9.246,8.993,8.503,9.268,9.147,8.831,7.842,8.148,9.847,9.54,8.91,8.28,9.186,9.436,10.254,10.467,8.976,7.469,7.64,7.391,8.479,9.027,8.02,7.061,8,,,8.743,8.775
,6,,9.543,7.41,7.89,9.628,8.394,8.477,8.632,8.188,8.482,8.217,8.697,8.513,9.036,8.758,8.88,9.064,8.956,9.6,8.781,9.067,8.891,9.385,9.121,8.58,9.384,9.246,8.929,7.956,8.214,9.958,9.651,9.046,8.406,9.29,9.552,10.387,10.562,9.082,7.597,7.794,7.497,8.556,9.135,8.134,7.17,8.09,,,8.854,8.886
,7,,9.733,7.528,8.016,9.671,8.446,8.587,8.79,8.289,8.632,8.348,8.815,8.606,9.129,8.843,9.009,9.184,9.094,9.744,8.907,9.188,8.992,9.512,9.246,8.654,9.484,9.332,9.024,8.063,8.29,10.068,9.764,9.197,8.524,9.403,9.682,10.507,10.66,9.167,7.721,7.942,7.613,8.644,9.27,8.262,7.276,8.207,,,8.964,9.001
,8,,9.771,7.663,8.149,9.789,8.499,8.707,8.919,8.373,8.739,8.465,8.95,8.707,9.226,8.946,9.141,9.307,9.241,9.886,9.028,9.301,9.111,9.64,9.379,8.725,9.574,9.419,9.15,8.174,8.392,10.169,9.881,9.34,8.635,9.514,9.802,10.612,10.772,9.248,7.84,8.092,7.724,8.739,9.404,8.401,7.386,8.321,,,9.078,9.126
,9,,9.908,7.808,8.246,9.887,8.632,8.797,9.053,8.494,8.85,8.558,9.094,8.796,9.336,9.041,9.229,9.438,9.382,10.012,9.142,9.407,9.228,9.782,9.513,8.796,9.654,9.503,9.284,8.3,8.504,10.266,10.001,9.462,8.77,9.641,9.926,10.707,10.889,9.335,7.958,8.239,7.812,8.848,9.533,8.548,7.499,8.447,,,9.19,9.229
,10,,9.975,7.958,8.354,10.038,8.724,8.892,9.166,8.613,8.944,8.626,9.23,8.871,9.443,9.126,9.291,9.564,9.527,10.114,9.27,9.512,9.352,9.923,9.629,8.854,9.736,9.581,9.41,8.415,8.619,10.352,10.116,9.581,8.928,9.769,10.059,10.769,11.008,9.413,8.087,8.367,7.91,8.967,9.658,8.669,7.608,8.567,,,9.296,9.322
,11,,9.978,8.096,8.46,10.182,8.856,9.024,9.285,8.728,9.043,8.703,9.37,8.947,9.551,9.21,9.361,9.685,9.678,10.201,9.407,9.61,9.494,10.055,9.714,8.91,9.824,9.685,9.524,8.528,8.752,10.43,10.222,9.687,9.097,9.866,10.193,10.842,11.113,9.481,8.221,8.481,8.033,9.074,9.786,8.768,7.72,8.663,,,9.404,9.45
,12,,10.099,8.22,8.555,10.29,9.009,9.133,9.421,8.846,9.148,8.768,9.514,9.007,9.682,9.299,9.434,9.794,9.809,10.273,9.538,9.72,9.64,10.207,9.795,8.966,9.929,9.803,9.64,8.643,8.897,10.5,10.341,9.784,9.277,9.939,10.323,10.928,11.198,9.549,8.349,8.605,8.15,9.175,9.888,8.877,7.846,8.742,,,9.513,9.589
,13,,10.225,8.363,8.674,10.423,9.109,9.267,9.543,8.997,9.245,8.848,9.661,9.08,9.814,9.394,9.505,9.899,9.925,10.336,9.647,9.815,9.768,10.35,9.866,9.023,10.04,9.912,9.743,8.758,9.033,10.568,10.462,9.905,9.466,10.012,10.451,11.005,11.27,9.625,8.477,8.752,8.265,9.28,9.982,8.99,7.963,8.806,,,9.62,9.702
,14,,10.369,8.427,8.792,10.47,9.215,9.411,9.679,9.128,9.333,8.965,9.795,9.183,9.932,9.503,9.616,10.003,10.046,10.386,9.759,9.926,9.882,10.494,9.934,9.074,10.152,10.024,9.843,8.861,9.175,10.653,10.583,10.034,9.637,10.077,10.569,11.062,11.348,9.693,8.621,8.892,8.382,9.365,10.074,9.086,8.064,8.887,,,9.728,9.819
,15,,10.499,8.511,8.936,10.535,9.323,9.48,9.822,9.291,9.433,9.123,9.934,9.3,10.055,9.618,9.753,10.113,10.158,10.47,9.871,10.042,9.969,10.621,10.014,9.127,10.274,10.138,9.935,8.953,9.309,10.749,10.707,10.168,9.793,10.143,10.673,11.152,11.437,9.779,8.764,9.023,8.488,9.444,10.168,9.204,8.161,8.97,,,9.841,9.934
,16,,10.65,8.646,9.068,10.572,9.423,9.576,9.976,9.458,9.529,9.279,10.079,9.421,10.186,9.736,9.891,10.224,10.265,10.576,9.97,10.18,10.03,10.754,10.113,9.192,10.388,10.239,10.016,9.064,9.435,10.845,10.829,10.307,9.943,10.251,10.776,11.237,11.542,9.881,8.898,9.143,8.598,9.526,10.259,9.341,8.251,9.063,,,9.954,10.023
